Time of Detection,Latitude,Longitude,Vertical Speed,Acceleration X,Acceleration Y,Acceleration Z,Bearing Change Rate,Altitude Change Rate,Signal Strength,Frequency,PRI,Pulse Width,Electronic Warfare,IFF Code,Flight Plan,Communication Signals,Weapon Status,Number of Objects in Formation,Formation Type,Country of Origin,Object Behavior,Weather Conditions,Time of Day,Geographic Terrain,Proximity to Sensitive Locations,Current Air Traffic Density,Solar Activity,Sensor Reliability,Confidence Level (Detection),Confidence Level (Classification),Number of Sensors Detecting Object,Sensor ID
2025-03-07 02:02:48.784082,-19.375386,46.085889,-22.23,-0.13,-0.8,1.57,-8.8,2.56,-17.15,4887031776.1,938.27,9.57,Unknown,3036,"{'ID': 'FP8778', 'Departure': 'Airport_36', 'Arrival': 'Airport_27', 'Planned Altitude': 34193.04, 'Planned Speed': 763.45}","{'Frequency': 9550.72, 'Content': 'Encrypted', 'Language': 'Unknown'}",Unknown,3,V-Formation,KR,Direct Approach,"{'Visibility': 25592.0, 'Wind Speed': 7.29, 'Cloud Cover': 67.58}",Day,Flat,79489.29,54,High,89.36,83.29,60.55,4,SENSOR_7
2025-03-07 01:21:56.784082,81.785361,-95.774552,-2.67,-3.27,1.75,-4.96,3.61,12.04,-99.32,2505184202.58,881.93,82.91,Unknown,9669,"{'ID': 'FP3279', 'Departure': 'Airport_50', 'Arrival': 'Airport_21', 'Planned Altitude': 7151.47, 'Planned Speed': 679.93}","{'Frequency': 8097.14, 'Content': 'Standard', 'Language': 'Unknown'}",Unarmed,5,Line Abreast,IN,Direct Approach,"{'Visibility': 46623.04, 'Wind Speed': 3.61, 'Cloud Cover': 79.3}",Twilight,Coastal,31905.73,91,High,61.35,96.06,84.59,1,SENSOR_4
2025-03-07 22:03:54.784082,54.094933,-2.738987,-3.35,-2.5,0.14,-1.77,-5.48,11.44,-31.71,3862431536.96,491.76,62.44,Unknown,1872,"{'ID': 'FP6318', 'Departure': 'Airport_47', 'Arrival': 'Airport_42', 'Planned Altitude': 33804.69, 'Planned Speed': 337.16}","{'Frequency': 5527.32, 'Content': 'Standard', 'Language': 'Unknown'}",Unknown,4,Echelon,RU,Loitering,"{'Visibility': 23197.33, 'Wind Speed': 20.23, 'Cloud Cover': 18.65}",Day,Mountainous,72094.37,33,Medium,61.12,86.24,95.93,5,SENSOR_11
2025-03-07 01:15:37.784082,0.931115,168.140418,27.0,2.48,4.04,2.72,-2.35,-14.5,-15.05,3364397968.24,343.41,11.79,Jamming,9260,"{'ID': 'FP6732', 'Departure': 'Airport_48', 'Arrival': 'Airport_43', 'Planned Altitude': 9989.52, 'Planned Speed': 865.8}","{'Frequency': 2639.45, 'Content': 'Standard', 'Language': 'English'}",Unarmed,1,None,RU,Aggressive Maneuvers,"{'Visibility': 20243.28, 'Wind Speed': 9.89, 'Cloud Cover': 98.35}",Twilight,Mountainous,34769.65,18,Medium,81.93,99.81,88.46,4,SENSOR_17
2025-03-07 06:04:56.784082,83.437631,126.620372,-3.73,0.99,-2.01,-2.81,5.62,-10.16,-34.88,7336968360.54,303.1,52.82,Unknown,1004,"{'ID': 'FP9436', 'Departure': 'Airport_48', 'Arrival': 'Airport_38', 'Planned Altitude': 5179.14, 'Planned Speed': 673.29}","{'Frequency': 8528.2, 'Content': 'Standard', 'Language': 'English'}",Unarmed,1,None,CN,Aggressive Maneuvers,"{'Visibility': 708.05, 'Wind Speed': 28.8, 'Cloud Cover': 84.21}",Night,Coastal,12909.03,4,Medium,67.57,83.04,99.99,1,SENSOR_9
2025-03-07 18:31:43.784082,20.148594,156.020419,-7.71,1.04,2.1,-2.89,-1.23,5.6,-60.62,3295764202.32,663.67,47.63,None,9459,"{'ID': 'FP7915', 'Departure': 'Airport_46', 'Arrival': 'Airport_2', 'Planned Altitude': 35782.75, 'Planned Speed': 802.94}","{'Frequency': 5725.02, 'Content': 'Standard', 'Language': 'English'}",Armed,3,None,CN,Direct Approach,"{'Visibility': 24384.87, 'Wind Speed': 9.5, 'Cloud Cover': 50.16}",Night,Coastal,82320.89,68,Low,78.5,96.47,65.25,4,SENSOR_2
2025-03-07 10:09:50.784082,64.578008,-90.021286,10.87,4.9,3.91,-1.78,3.21,6.22,-75.14,6349038183.45,70.48,93.64,Jamming,9917,"{'ID': 'FP3789', 'Departure': 'Airport_28', 'Arrival': 'Airport_42', 'Planned Altitude': 23149.2, 'Planned Speed': 728.6}","{'Frequency': 234.62, 'Content': 'Standard', 'Language': 'English'}",Unarmed,1,None,PK,Direct Approach,"{'Visibility': 39800.13, 'Wind Speed': 24.19, 'Cloud Cover': 1.86}",Twilight,Flat,76087.56,78,Medium,63.86,52.84,64.69,3,SENSOR_3
2025-03-07 06:49:52.784082,-67.940166,85.684141,-9.56,0.46,0.67,-1.56,4.55,-19.26,-38.57,5102219751.46,764.96,72.58,Jamming,1172,"{'ID': 'FP8975', 'Departure': 'Airport_46', 'Arrival': 'Airport_13', 'Planned Altitude': 12464.25, 'Planned Speed': 676.44}","{'Frequency': 7982.57, 'Content': 'Standard', 'Language': 'English'}",Unarmed,5,Line Abreast,KR,Aggressive Maneuvers,"{'Visibility': 13669.11, 'Wind Speed': 0.31, 'Cloud Cover': 36.37}",Twilight,Mountainous,18629.97,5,Medium,64.98,52.84,56.89,4,SENSOR_10
2025-03-07 01:01:12.784082,87.512639,-113.242426,-48.99,1.51,3.73,-1.73,-2.06,-13.75,-55.55,3045943976.96,861.6,13.16,Unknown,9892,"{'ID': 'FP7508', 'Departure': 'Airport_2', 'Arrival': 'Airport_23', 'Planned Altitude': 5548.96, 'Planned Speed': 456.05}","{'Frequency': 6465.09, 'Content': 'Standard', 'Language': 'English'}",Unknown,3,Line Abreast,KR,Loitering,"{'Visibility': 32250.73, 'Wind Speed': 19.95, 'Cloud Cover': 56.07}",Night,Flat,72433.9,13,Medium,62.33,85.63,52.88,2,SENSOR_14
2025-03-07 16:58:22.784082,-60.913169,-99.525571,-16.1,-3.38,-0.44,-3.92,2.14,-15.56,-7.08,3051074590.89,768.14,8.89,Unknown,7565,"{'ID': 'FP9627', 'Departure': 'Airport_47', 'Arrival': 'Airport_46', 'Planned Altitude': 4044.86, 'Planned Speed': 626.49}","{'Frequency': 3702.2, 'Content': 'Encrypted', 'Language': 'English'}",Unknown,3,V-Formation,CN,Direct Approach,"{'Visibility': 46344.77, 'Wind Speed': 10.53, 'Cloud Cover': 21.81}",Day,Coastal,98358.15,39,High,56.27,61.19,69.85,1,SENSOR_20
2025-03-07 08:21:48.784082,-8.047985,123.729424,16.28,-1.11,4.6,-3.87,-9.3,17.55,-77.51,7324805246.85,585.46,6.4,Unknown,4909,"{'ID': 'FP6307', 'Departure': 'Airport_4', 'Arrival': 'Airport_20', 'Planned Altitude': 39957.24, 'Planned Speed': 555.89}","{'Frequency': 2043.87, 'Content': 'Encrypted', 'Language': 'English'}",Armed,6,None,FR,Loitering,"{'Visibility': 25262.38, 'Wind Speed': 18.98, 'Cloud Cover': 51.16}",Day,Coastal,85006.8,74,High,75.23,83.49,72.84,1,SENSOR_16
2025-03-07 04:45:36.784082,15.746494,69.313457,-22.4,-3.0,3.54,0.94,6.05,-1.8,-34.82,4896988581.08,566.71,77.18,Jamming,8327,"{'ID': 'FP9403', 'Departure': 'Airport_3', 'Arrival': 'Airport_5', 'Planned Altitude': 37380.76, 'Planned Speed': 352.25}","{'Frequency': 3627.42, 'Content': 'Standard', 'Language': 'English'}",Unknown,5,Echelon,CN,Loitering,"{'Visibility': 43796.95, 'Wind Speed': 26.83, 'Cloud Cover': 69.14}",Night,Mountainous,98447.86,18,Medium,57.94,99.58,84.67,1,SENSOR_4
2025-03-07 22:56:02.784082,-15.818822,79.643292,-21.88,-0.59,3.22,1.4,2.7,-10.45,-36.35,9897081941.99,596.69,4.55,Jamming,1755,"{'ID': 'FP1044', 'Departure': 'Airport_46', 'Arrival': 'Airport_23', 'Planned Altitude': 25846.46, 'Planned Speed': 346.66}","{'Frequency': 7486.52, 'Content': 'Standard', 'Language': 'Unknown'}",Armed,4,Echelon,PK,Loitering,"{'Visibility': 34709.08, 'Wind Speed': 7.24, 'Cloud Cover': 86.18}",Day,Coastal,73275.52,98,Medium,85.55,82.6,86.13,5,SENSOR_12
2025-03-07 11:26:00.784082,72.610275,-9.411712,10.52,4.25,4.84,3.53,-2.93,-7.51,-1.49,2543085187.24,969.18,34.57,Spoofing,5332,"{'ID': 'FP4935', 'Departure': 'Airport_4', 'Arrival': 'Airport_14', 'Planned Altitude': 19479.91, 'Planned Speed': 509.32}","{'Frequency': 5782.61, 'Content': 'Standard', 'Language': 'Unknown'}",Armed,3,Line Abreast,DE,Aggressive Maneuvers,"{'Visibility': 26327.23, 'Wind Speed': 29.67, 'Cloud Cover': 66.26}",Twilight,Mountainous,40959.38,38,Medium,93.67,67.79,50.12,1,SENSOR_20
2025-03-07 21:19:38.784082,26.557899,-69.307331,-19.54,-4.84,1.7,-0.62,1.86,-15.96,-73.37,3833869209.95,707.16,89.09,Jamming,3870,"{'ID': 'FP6653', 'Departure': 'Airport_35', 'Arrival': 'Airport_40', 'Planned Altitude': 11942.17, 'Planned Speed': 214.26}","{'Frequency': 8931.48, 'Content': 'Standard', 'Language': 'English'}",Armed,3,None,US,Loitering,"{'Visibility': 6396.17, 'Wind Speed': 12.8, 'Cloud Cover': 52.98}",Twilight,Coastal,45835.85,80,Low,82.35,63.62,60.58,3,SENSOR_9
2025-03-07 09:47:59.784082,36.435955,60.831894,49.66,3.51,-2.17,4.82,-6.89,-2.95,-95.41,1551972382.99,60.71,12.19,Spoofing,1037,"{'ID': 'FP2187', 'Departure': 'Airport_28', 'Arrival': 'Airport_9', 'Planned Altitude': 9815.2, 'Planned Speed': 608.45}","{'Frequency': 651.84, 'Content': 'Standard', 'Language': 'English'}",Unarmed,6,V-Formation,FR,Aggressive Maneuvers,"{'Visibility': 21724.31, 'Wind Speed': 27.62, 'Cloud Cover': 8.9}",Day,Coastal,55408.29,100,High,95.55,67.0,57.07,1,SENSOR_10
2025-03-07 05:55:52.784082,-41.919525,126.550322,9.06,1.07,4.57,2.12,-5.79,2.47,-94.93,2085257731.5,302.9,41.8,Spoofing,8637,"{'ID': 'FP3984', 'Departure': 'Airport_35', 'Arrival': 'Airport_35', 'Planned Altitude': 29925.13, 'Planned Speed': 343.09}","{'Frequency': 2216.78, 'Content': 'Standard', 'Language': 'English'}",Armed,1,None,CN,Loitering,"{'Visibility': 2241.48, 'Wind Speed': 12.62, 'Cloud Cover': 89.24}",Day,Flat,31562.59,34,Low,50.8,93.94,72.05,2,SENSOR_16
2025-03-07 21:32:57.784082,51.407181,-32.826831,-29.64,-0.41,1.98,-1.87,7.85,3.03,-31.24,3107537757.65,287.54,52.58,Spoofing,5373,"{'ID': 'FP2941', 'Departure': 'Airport_10', 'Arrival': 'Airport_38', 'Planned Altitude': 22612.04, 'Planned Speed': 209.92}","{'Frequency': 3085.71, 'Content': 'Standard', 'Language': 'English'}",Unarmed,6,Line Abreast,IR,Loitering,"{'Visibility': 41040.18, 'Wind Speed': 6.49, 'Cloud Cover': 9.42}",Twilight,Coastal,76790.73,98,High,91.54,54.73,97.5,5,SENSOR_9
2025-03-07 11:24:51.784082,-79.100057,-98.73414,-47.67,1.67,3.52,4.41,2.05,-10.59,-78.38,1547942943.03,809.0,66.63,Spoofing,7346,"{'ID': 'FP9504', 'Departure': 'Airport_33', 'Arrival': 'Airport_11', 'Planned Altitude': 3195.87, 'Planned Speed': 367.58}","{'Frequency': 3084.3, 'Content': 'Standard', 'Language': 'English'}",Armed,1,None,FR,Aggressive Maneuvers,"{'Visibility': 28265.61, 'Wind Speed': 14.88, 'Cloud Cover': 35.47}",Night,Mountainous,8690.69,43,Medium,71.35,59.24,82.57,1,SENSOR_16
2025-03-07 21:12:05.784082,42.484659,4.606396,-27.03,-3.2,1.33,-1.03,0.37,16.39,-1.8,5254531824.72,856.15,78.93,Jamming,6646,"{'ID': 'FP9114', 'Departure': 'Airport_4', 'Arrival': 'Airport_5', 'Planned Altitude': 4096.38, 'Planned Speed': 224.69}","{'Frequency': 4663.81, 'Content': 'Standard', 'Language': 'English'}",Armed,3,Echelon,US,Direct Approach,"{'Visibility': 10043.84, 'Wind Speed': 7.63, 'Cloud Cover': 19.0}",Twilight,Coastal,32918.96,94,Medium,57.5,89.04,52.6,5,SENSOR_13
2025-03-07 13:24:07.784082,-33.475964,-133.322288,8.6,-2.52,4.92,2.75,-9.26,-16.42,-68.11,2953919641.44,532.21,97.5,None,3383,"{'ID': 'FP5601', 'Departure': 'Airport_49', 'Arrival': 'Airport_50', 'Planned Altitude': 5898.95, 'Planned Speed': 874.59}","{'Frequency': 439.69, 'Content': 'Standard', 'Language': 'English'}",Armed,4,Line Abreast,FR,Aggressive Maneuvers,"{'Visibility': 4246.15, 'Wind Speed': 24.69, 'Cloud Cover': 49.0}",Twilight,Mountainous,63480.49,77,Low,98.62,63.58,63.77,1,SENSOR_14
2025-03-07 01:29:49.784082,5.334607,165.599742,-39.32,2.37,-4.8,-1.94,3.58,-3.58,-26.83,3328215142.02,401.42,53.45,None,3932,"{'ID': 'FP9544', 'Departure': 'Airport_10', 'Arrival': 'Airport_12', 'Planned Altitude': 4387.54, 'Planned Speed': 681.5}","{'Frequency': 5785.28, 'Content': 'Standard', 'Language': 'English'}",Armed,3,None,RU,Direct Approach,"{'Visibility': 41799.45, 'Wind Speed': 1.32, 'Cloud Cover': 10.09}",Day,Flat,60913.61,42,Low,61.84,55.5,62.34,3,SENSOR_8
2025-03-07 07:46:00.784082,1.964562,102.653214,40.33,2.27,-4.39,-4.94,5.79,-6.19,-56.46,5864720985.3,987.48,65.47,None,2078,"{'ID': 'FP2604', 'Departure': 'Airport_30', 'Arrival': 'Airport_26', 'Planned Altitude': 36389.82, 'Planned Speed': 510.94}","{'Frequency': 4647.29, 'Content': 'Standard', 'Language': 'English'}",Armed,5,Line Abreast,PK,Direct Approach,"{'Visibility': 10141.96, 'Wind Speed': 29.9, 'Cloud Cover': 99.91}",Twilight,Mountainous,21243.45,91,High,95.81,85.97,81.04,4,SENSOR_3
2025-03-07 13:56:12.784082,66.544603,146.139412,-24.64,1.07,0.19,4.36,-8.6,18.01,-93.85,3505463795.57,580.77,58.89,None,9630,"{'ID': 'FP4677', 'Departure': 'Airport_32', 'Arrival': 'Airport_46', 'Planned Altitude': 17978.28, 'Planned Speed': 261.46}","{'Frequency': 4699.51, 'Content': 'Standard', 'Language': 'English'}",Unarmed,1,None,CN,Aggressive Maneuvers,"{'Visibility': 49138.41, 'Wind Speed': 13.08, 'Cloud Cover': 68.77}",Day,Flat,10166.04,0,Low,93.68,59.82,97.59,2,SENSOR_3
2025-03-07 03:47:37.784082,-30.62058,-80.952864,23.96,-3.94,-4.26,-3.15,0.75,-10.22,-69.08,9920283239.23,791.71,23.49,Unknown,7046,"{'ID': 'FP1830', 'Departure': 'Airport_12', 'Arrival': 'Airport_11', 'Planned Altitude': 9739.92, 'Planned Speed': 515.36}","{'Frequency': 5893.99, 'Content': 'Standard', 'Language': 'English'}",Unarmed,1,None,FR,Aggressive Maneuvers,"{'Visibility': 37758.03, 'Wind Speed': 28.57, 'Cloud Cover': 12.81}",Day,Coastal,71287.78,79,High,72.64,71.67,63.18,2,SENSOR_15
2025-03-07 20:26:03.784082,65.005562,44.259068,-6.33,-3.68,1.22,1.95,1.11,11.6,-49.06,9996028405.41,283.15,73.81,Jamming,1375,"{'ID': 'FP4393', 'Departure': 'Airport_3', 'Arrival': 'Airport_5', 'Planned Altitude': 28069.79, 'Planned Speed': 682.57}","{'Frequency': 961.7, 'Content': 'Standard', 'Language': 'Unknown'}",Unknown,3,V-Formation,IN,Aggressive Maneuvers,"{'Visibility': 26517.22, 'Wind Speed': 23.73, 'Cloud Cover': 60.87}",Twilight,Flat,45552.67,69,Medium,93.2,78.56,91.24,4,SENSOR_3
2025-03-06 23:22:16.784082,-89.584585,100.981918,-29.21,3.35,0.06,-2.99,-5.68,15.27,-45.17,7184687610.0,36.89,4.98,Spoofing,4140,"{'ID': 'FP3400', 'Departure': 'Airport_50', 'Arrival': 'Airport_33', 'Planned Altitude': 18131.46, 'Planned Speed': 259.0}","{'Frequency': 7568.14, 'Content': 'Encrypted', 'Language': 'Unknown'}",Armed,1,None,FR,Direct Approach,"{'Visibility': 47580.88, 'Wind Speed': 12.07, 'Cloud Cover': 6.7}",Day,Coastal,65499.03,27,Low,80.19,85.29,52.27,5,SENSOR_1
2025-03-07 09:19:22.784082,26.637949,-161.097322,-16.67,-0.93,-0.72,0.21,2.91,-12.73,-53.74,2255176147.44,351.52,27.09,None,3652,"{'ID': 'FP2793', 'Departure': 'Airport_27', 'Arrival': 'Airport_10', 'Planned Altitude': 30182.44, 'Planned Speed': 432.16}","{'Frequency': 6810.83, 'Content': 'Standard', 'Language': 'English'}",Unarmed,4,V-Formation,IN,Direct Approach,"{'Visibility': 32493.5, 'Wind Speed': 26.84, 'Cloud Cover': 0.64}",Day,Mountainous,20280.81,8,Medium,53.47,89.19,87.37,4,SENSOR_15
2025-03-07 19:51:03.784082,-83.195319,-25.494525,14.01,1.42,-3.51,-0.12,-5.67,-17.01,-52.89,4597853229.89,883.1,19.56,Jamming,4668,"{'ID': 'FP2802', 'Departure': 'Airport_42', 'Arrival': 'Airport_37', 'Planned Altitude': 33852.37, 'Planned Speed': 627.14}","{'Frequency': 5346.72, 'Content': 'Encrypted', 'Language': 'English'}",Armed,5,Line Abreast,IN,Direct Approach,"{'Visibility': 8235.94, 'Wind Speed': 24.44, 'Cloud Cover': 52.75}",Day,Flat,93517.58,22,Medium,88.62,97.7,75.23,2,SENSOR_4
2025-03-07 12:25:45.784082,78.359041,-156.271556,-38.72,-2.99,-3.34,-0.81,0.31,-14.19,-46.14,7071304496.73,800.12,5.74,Spoofing,7359,"{'ID': 'FP7752', 'Departure': 'Airport_19', 'Arrival': 'Airport_30', 'Planned Altitude': 15400.56, 'Planned Speed': 437.79}","{'Frequency': 2286.4, 'Content': 'Standard', 'Language': 'English'}",Unknown,1,None,DE,Direct Approach,"{'Visibility': 5731.55, 'Wind Speed': 27.23, 'Cloud Cover': 13.19}",Day,Flat,37347.49,19,High,77.41,59.3,76.97,4,SENSOR_15
2025-03-07 19:32:39.784082,-25.34572,-97.357793,10.29,-0.57,-4.82,3.51,-6.71,4.27,-64.32,3627958933.94,24.81,13.7,Spoofing,5126,"{'ID': 'FP5616', 'Departure': 'Airport_6', 'Arrival': 'Airport_12', 'Planned Altitude': 14507.45, 'Planned Speed': 725.06}","{'Frequency': 2754.22, 'Content': 'Standard', 'Language': 'English'}",Unknown,3,V-Formation,FR,Aggressive Maneuvers,"{'Visibility': 16157.13, 'Wind Speed': 17.05, 'Cloud Cover': 29.57}",Twilight,Coastal,29915.22,79,High,80.07,66.29,72.72,3,SENSOR_1
2025-03-07 16:48:12.784082,36.425473,151.01398,-37.59,-1.68,-1.09,-3.81,-8.21,3.03,-58.69,4539120836.96,358.75,23.04,None,2924,"{'ID': 'FP9974', 'Departure': 'Airport_9', 'Arrival': 'Airport_18', 'Planned Altitude': 25915.76, 'Planned Speed': 299.81}","{'Frequency': 920.43, 'Content': 'Encrypted', 'Language': 'English'}",Unknown,6,Line Abreast,RU,Direct Approach,"{'Visibility': 44361.39, 'Wind Speed': 7.79, 'Cloud Cover': 58.04}",Day,Flat,71836.14,32,Medium,84.03,73.99,73.77,3,SENSOR_11
2025-03-07 07:50:05.784082,21.772337,-31.634475,41.47,-0.8,2.39,0.36,-3.71,-7.81,-30.01,3426029367.56,861.08,2.99,Jamming,5818,"{'ID': 'FP6487', 'Departure': 'Airport_35', 'Arrival': 'Airport_5', 'Planned Altitude': 18480.94, 'Planned Speed': 442.28}","{'Frequency': 5362.88, 'Content': 'Standard', 'Language': 'English'}",Unknown,6,None,IN,Direct Approach,"{'Visibility': 47000.59, 'Wind Speed': 23.7, 'Cloud Cover': 86.68}",Night,Mountainous,29572.44,20,High,79.94,54.5,81.34,3,SENSOR_11
2025-03-07 13:36:34.784082,12.551726,-69.17308,-35.13,-2.1,3.03,-3.91,8.0,13.93,-2.93,8123716816.74,924.26,77.98,Unknown,3041,"{'ID': 'FP7205', 'Departure': 'Airport_6', 'Arrival': 'Airport_21', 'Planned Altitude': 30632.72, 'Planned Speed': 895.96}","{'Frequency': 1702.34, 'Content': 'Standard', 'Language': 'English'}",Unknown,1,None,PK,Aggressive Maneuvers,"{'Visibility': 46012.14, 'Wind Speed': 23.58, 'Cloud Cover': 15.53}",Day,Coastal,23796.35,59,High,65.69,86.65,86.91,4,SENSOR_6
2025-03-07 03:46:14.784082,-44.899664,148.518687,46.65,-3.36,2.63,1.42,-4.43,0.6,-32.42,4879840310.08,56.48,26.87,Spoofing,2824,"{'ID': 'FP8535', 'Departure': 'Airport_12', 'Arrival': 'Airport_47', 'Planned Altitude': 27129.01, 'Planned Speed': 649.01}","{'Frequency': 6997.19, 'Content': 'Standard', 'Language': 'English'}",Unarmed,3,Line Abreast,RU,Direct Approach,"{'Visibility': 13779.24, 'Wind Speed': 8.61, 'Cloud Cover': 5.8}",Twilight,Coastal,61934.77,0,Low,73.94,86.87,97.44,2,SENSOR_4
