Radar Type,Detection Type,Missile Type,Aircraft Type,Drone Type,Threat Level,Altitude,Speed,Distance From Target,Heading,Radar Signature,Detection Status,Target Class
Long-Range,Hybrid,Cruise Missile,Drones,Fixed-Wing,Medium,13833.14,907.26,198.1,216.75,0.82,1,Drones
Short-Range,Hybrid,Cruise Missile,Bombers,Quadcopter,Medium,14477.01,1256.09,469.02,248.39,0.51,0,None
Medium-Range,Passive,Anti-Air Missile,Bombers,Fixed-Wing,High,17874.63,895.06,446.84,233.74,0.07,1,Bombers
Medium-Range,Hybrid,Cruise Missile,Drones,Hybrid Drone,High,6295.23,252.92,325.85,97.2,0.58,1,Drones
Short-Range,Passive,Cruise Missile,Fighter Jet,Hybrid Drone,Medium,3457.7,461.68,323.41,162.49,0.59,1,Hybrid Drone
Medium-Range,Passive,Ballistic Missile,Helicopter,Hybrid Drone,High,13703.96,930.01,457.59,188.15,0.34,1,Helicopter
Long-Range,Active,Anti-Air Missile,Helicopter,Hybrid Drone,Low,8503.51,448.4,424.2,4.18,0.19,1,Helicopter
Short-Range,Active,Surface-to-Air Missile,Drones,Fixed-Wing,Low,11683.54,1338.11,304.62,51.84,0.41,1,Surface-to-Air Missile
Medium-Range,Active,Cruise Missile,Passenger Aircraft,Hybrid Drone,Low,4229.99,1009.79,163.44,16.97,0.1,1,Passenger Aircraft
Medium-Range,Hybrid,Ballistic Missile,Fighter Jet,Fixed-Wing,High,10917.43,1203.19,113.77,307.52,0.51,0,None
Short-Range,Active,Cruise Missile,Passenger Aircraft,Quadcopter,Medium,12108.73,591.25,486.57,239.75,0.15,0,None
Long-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Quadcopter,Low,15865.87,1261.1,323.18,13.9,0.16,0,None
Short-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,Low,15538.11,275.76,231.07,26.38,0.74,0,None
Medium-Range,Active,Cruise Missile,Helicopter,Quadcopter,Low,16191.07,860.5,111.93,49.25,0.69,1,Cruise Missile
Medium-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Low,13581.05,718.8,366.26,162.23,0.97,0,None
Short-Range,Active,Anti-Air Missile,Bombers,Quadcopter,Medium,11097.77,532.6,99.7,7.03,0.72,1,Bombers
Long-Range,Passive,Anti-Air Missile,Helicopter,Fixed-Wing,Low,9415.26,1022.1,221.76,130.42,0.76,1,Helicopter
Short-Range,Passive,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,Low,5118.36,1034.65,392.69,253.61,0.57,1,Surface-to-Air Missile
Long-Range,Hybrid,Ballistic Missile,Bombers,Hybrid Drone,Medium,9993.94,1041.25,203.18,309.0,0.52,1,Hybrid Drone
Long-Range,Passive,Cruise Missile,Passenger Aircraft,Quadcopter,Low,953.63,1441.3,215.99,151.5,0.96,0,None
Medium-Range,Hybrid,Surface-to-Air Missile,Bombers,Quadcopter,Low,3218.16,1202.85,136.14,279.47,0.71,1,Quadcopter
Short-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,Low,3796.25,721.78,221.77,288.86,0.57,1,Surface-to-Air Missile
Long-Range,Passive,Cruise Missile,Drones,Fixed-Wing,Medium,9844.13,566.45,120.06,173.56,0.52,0,None
Medium-Range,Passive,Ballistic Missile,Drones,Hybrid Drone,Low,8829.64,485.11,317.27,337.58,0.39,1,Ballistic Missile
Medium-Range,Active,Cruise Missile,Drones,Quadcopter,Medium,18123.51,1400.15,261.14,79.35,0.76,1,Drones
Short-Range,Hybrid,Ballistic Missile,Bombers,Hybrid Drone,Low,18239.7,1175.62,77.7,70.6,0.42,0,None
Long-Range,Passive,Cruise Missile,Fighter Jet,Hybrid Drone,Low,8028.82,1481.99,207.01,59.55,0.43,0,None
Short-Range,Passive,Anti-Air Missile,Bombers,Quadcopter,Medium,9670.99,469.37,110.45,140.18,0.43,1,Anti-Air Missile
Medium-Range,Hybrid,Ballistic Missile,Drones,Quadcopter,Low,5380.35,1383.2,150.49,275.9,0.95,1,Ballistic Missile
Medium-Range,Hybrid,Ballistic Missile,Fighter Jet,Hybrid Drone,Low,7099.97,873.32,112.59,190.36,0.1,1,Ballistic Missile
Medium-Range,Hybrid,Anti-Air Missile,Drones,Fixed-Wing,High,3541.32,1087.19,86.29,311.8,0.8,1,Anti-Air Missile
Long-Range,Passive,Cruise Missile,Bombers,Quadcopter,Medium,7401.94,1311.97,473.01,172.4,0.5,1,Cruise Missile
Long-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,High,4378.39,1202.93,258.92,304.55,0.79,0,None
Long-Range,Passive,Ballistic Missile,Fighter Jet,Fixed-Wing,Medium,12505.65,420.73,451.53,116.81,0.36,1,Fighter Jet
Long-Range,Hybrid,Cruise Missile,Passenger Aircraft,Fixed-Wing,Low,17394.49,1049.21,186.32,30.56,0.73,1,Fixed-Wing
Medium-Range,Active,Anti-Air Missile,Helicopter,Fixed-Wing,Low,12682.72,1237.07,250.31,65.08,0.36,1,Fixed-Wing
Medium-Range,Hybrid,Cruise Missile,Bombers,Quadcopter,High,18965.23,730.35,112.05,80.14,0.57,1,Bombers
Short-Range,Hybrid,Anti-Air Missile,Bombers,Fixed-Wing,High,17148.48,314.52,119.02,308.49,0.29,0,None
Short-Range,Active,Ballistic Missile,Bombers,Fixed-Wing,Low,13981.45,378.36,475.53,0.71,0.15,1,Fixed-Wing
Short-Range,Hybrid,Ballistic Missile,Drones,Fixed-Wing,High,6902.93,885.6,404.41,235.26,0.74,1,Drones
Medium-Range,Active,Anti-Air Missile,Fighter Jet,Quadcopter,High,13654.87,884.6,458.69,203.49,0.43,1,Anti-Air Missile
Short-Range,Active,Ballistic Missile,Fighter Jet,Fixed-Wing,Low,14313.95,1275.19,368.89,230.18,0.24,1,Fixed-Wing
Short-Range,Active,Anti-Air Missile,Helicopter,Quadcopter,Medium,6889.48,1222.12,351.0,176.11,0.98,1,Quadcopter
Short-Range,Hybrid,Cruise Missile,Helicopter,Fixed-Wing,High,12692.7,667.52,330.57,3.62,0.85,0,None
Medium-Range,Passive,Cruise Missile,Drones,Fixed-Wing,High,19813.76,555.55,317.68,313.05,0.76,1,Drones
Medium-Range,Active,Cruise Missile,Helicopter,Fixed-Wing,High,12133.25,312.11,228.15,201.67,0.25,1,Cruise Missile
Medium-Range,Hybrid,Surface-to-Air Missile,Bombers,Fixed-Wing,Low,15133.12,714.05,218.37,30.39,0.05,1,Surface-to-Air Missile
Medium-Range,Hybrid,Cruise Missile,Passenger Aircraft,Hybrid Drone,Medium,18774.1,1061.39,374.62,196.97,0.82,1,Passenger Aircraft
Long-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Hybrid Drone,High,9784.7,601.51,200.21,93.29,0.1,1,Hybrid Drone
Short-Range,Passive,Ballistic Missile,Bombers,Hybrid Drone,Low,16318.23,964.73,57.88,291.98,0.12,1,Ballistic Missile
Medium-Range,Passive,Surface-to-Air Missile,Helicopter,Hybrid Drone,Low,16337.97,388.91,166.64,332.75,0.45,1,Helicopter
Long-Range,Passive,Cruise Missile,Drones,Fixed-Wing,Medium,5974.71,940.26,153.8,95.09,0.48,1,Fixed-Wing
Long-Range,Passive,Anti-Air Missile,Bombers,Fixed-Wing,Low,15197.57,1259.93,210.84,146.05,0.65,1,Fixed-Wing
Short-Range,Active,Ballistic Missile,Bombers,Fixed-Wing,High,10054.39,1485.38,162.42,46.47,0.99,1,Bombers
Long-Range,Active,Cruise Missile,Helicopter,Quadcopter,High,11412.97,325.82,89.56,170.0,0.25,1,Helicopter
Long-Range,Passive,Cruise Missile,Fighter Jet,Fixed-Wing,High,10570.33,1341.7,231.36,104.81,0.98,1,Fixed-Wing
Long-Range,Hybrid,Anti-Air Missile,Fighter Jet,Quadcopter,High,8946.56,865.3,143.55,265.31,0.07,1,Anti-Air Missile
Short-Range,Hybrid,Anti-Air Missile,Helicopter,Fixed-Wing,High,16227.2,1498.07,328.83,197.27,0.8,1,Helicopter
Medium-Range,Passive,Surface-to-Air Missile,Helicopter,Hybrid Drone,Low,9510.55,983.86,236.45,4.96,0.9,1,Hybrid Drone
Medium-Range,Active,Ballistic Missile,Bombers,Fixed-Wing,Medium,12652.45,283.46,155.32,40.6,0.94,1,Ballistic Missile
Long-Range,Passive,Cruise Missile,Drones,Quadcopter,Low,11321.69,1392.32,352.29,198.03,0.96,1,Drones
Long-Range,Passive,Anti-Air Missile,Drones,Quadcopter,Low,19230.95,963.28,124.49,316.97,0.95,1,Anti-Air Missile
Long-Range,Hybrid,Cruise Missile,Drones,Quadcopter,Medium,2422.6,754.31,411.53,4.01,0.49,1,Quadcopter
Medium-Range,Active,Cruise Missile,Bombers,Hybrid Drone,Low,9393.7,755.68,50.35,247.55,0.22,0,None
Medium-Range,Hybrid,Ballistic Missile,Bombers,Quadcopter,Low,15268.79,978.97,160.84,172.02,0.53,1,Bombers
Medium-Range,Active,Cruise Missile,Passenger Aircraft,Fixed-Wing,Low,11028.92,1231.06,352.35,139.23,0.56,1,Passenger Aircraft
Long-Range,Hybrid,Ballistic Missile,Helicopter,Quadcopter,Medium,9442.98,760.97,474.26,180.62,0.59,1,Ballistic Missile
Short-Range,Active,Ballistic Missile,Fighter Jet,Hybrid Drone,High,1828.64,742.04,59.01,48.28,0.83,1,Fighter Jet
Short-Range,Active,Anti-Air Missile,Helicopter,Fixed-Wing,Low,11665.75,633.81,263.39,64.3,0.83,0,None
Long-Range,Active,Cruise Missile,Drones,Hybrid Drone,Medium,19484.44,413.67,440.05,103.49,0.23,1,Drones
Long-Range,Passive,Surface-to-Air Missile,Fighter Jet,Fixed-Wing,Low,15506.1,503.25,71.67,179.73,0.61,1,Surface-to-Air Missile
Short-Range,Passive,Ballistic Missile,Passenger Aircraft,Quadcopter,Medium,17530.0,1088.51,480.75,128.43,0.39,1,Quadcopter
Short-Range,Passive,Ballistic Missile,Bombers,Quadcopter,High,18865.8,521.78,488.34,176.64,0.34,1,Ballistic Missile
Medium-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Quadcopter,High,570.63,567.75,499.5,96.16,0.33,0,None
Medium-Range,Active,Surface-to-Air Missile,Drones,Hybrid Drone,Medium,16880.85,1074.83,483.93,261.74,0.82,1,Surface-to-Air Missile
Medium-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,4796.77,694.58,178.7,269.83,0.82,1,Fixed-Wing
Long-Range,Active,Anti-Air Missile,Fighter Jet,Hybrid Drone,High,9066.24,311.89,170.87,161.34,0.14,1,Hybrid Drone
Medium-Range,Passive,Ballistic Missile,Helicopter,Hybrid Drone,High,10241.75,1254.37,422.49,252.49,0.2,0,None
Short-Range,Active,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,High,15183.52,721.38,411.28,126.96,0.28,1,Hybrid Drone
Medium-Range,Active,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,1924.7,495.08,223.38,307.31,0.8,1,Anti-Air Missile
Medium-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,High,6252.4,642.42,82.87,55.13,0.56,0,None
Medium-Range,Hybrid,Surface-to-Air Missile,Bombers,Hybrid Drone,Medium,18570.38,978.25,254.04,26.25,0.57,1,Surface-to-Air Missile
Short-Range,Active,Ballistic Missile,Passenger Aircraft,Fixed-Wing,Medium,2497.8,537.66,389.69,86.21,0.09,1,Ballistic Missile
Long-Range,Active,Cruise Missile,Drones,Fixed-Wing,Low,3928.05,878.94,175.35,136.66,0.56,1,Cruise Missile
Short-Range,Passive,Ballistic Missile,Helicopter,Hybrid Drone,High,16309.08,1277.95,492.87,116.38,0.49,1,Ballistic Missile
Medium-Range,Hybrid,Anti-Air Missile,Helicopter,Quadcopter,Low,14253.2,791.44,336.95,132.25,0.85,1,Helicopter
Medium-Range,Active,Cruise Missile,Bombers,Fixed-Wing,High,1127.84,956.09,102.9,35.24,0.59,1,Cruise Missile
Short-Range,Passive,Cruise Missile,Passenger Aircraft,Fixed-Wing,Medium,14729.5,614.92,56.55,208.9,0.25,1,Cruise Missile
Medium-Range,Active,Cruise Missile,Bombers,Quadcopter,Low,16738.76,1204.44,174.07,269.87,0.67,1,Bombers
Short-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,Low,2542.89,918.96,403.56,194.8,0.55,0,None
Long-Range,Active,Cruise Missile,Helicopter,Hybrid Drone,High,2801.08,648.43,59.23,114.61,0.93,1,Hybrid Drone
Long-Range,Hybrid,Cruise Missile,Fighter Jet,Hybrid Drone,Low,11076.51,1280.33,247.42,56.46,0.58,1,Fighter Jet
Long-Range,Active,Anti-Air Missile,Passenger Aircraft,Quadcopter,Low,18081.96,337.56,145.51,255.1,0.02,1,Quadcopter
Medium-Range,Active,Anti-Air Missile,Helicopter,Hybrid Drone,High,19229.49,1460.17,317.01,245.21,0.49,1,Anti-Air Missile
Long-Range,Passive,Ballistic Missile,Fighter Jet,Quadcopter,Medium,17727.92,648.67,180.7,83.88,0.68,1,Fighter Jet
Short-Range,Hybrid,Anti-Air Missile,Fighter Jet,Fixed-Wing,Medium,12713.03,1272.76,425.41,156.02,0.6,1,Anti-Air Missile
Medium-Range,Hybrid,Anti-Air Missile,Fighter Jet,Fixed-Wing,High,12924.5,1323.41,121.96,236.06,0.25,1,Fighter Jet
Long-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Fixed-Wing,Medium,14434.94,582.13,81.24,162.03,0.86,1,Passenger Aircraft
Medium-Range,Passive,Ballistic Missile,Helicopter,Quadcopter,High,777.19,659.64,281.18,137.68,0.57,1,Ballistic Missile
Medium-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,11404.82,326.18,350.82,214.27,0.45,1,Passenger Aircraft
Long-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Fixed-Wing,Medium,19131.27,1079.48,169.03,103.5,0.77,1,Fighter Jet
Short-Range,Active,Surface-to-Air Missile,Helicopter,Quadcopter,Low,4063.17,996.83,141.85,30.7,0.82,0,None
Medium-Range,Active,Cruise Missile,Passenger Aircraft,Fixed-Wing,High,7842.55,457.16,410.15,266.27,0.2,1,Fixed-Wing
Short-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,High,7447.46,673.6,325.82,300.6,0.47,1,Passenger Aircraft
Long-Range,Hybrid,Ballistic Missile,Drones,Hybrid Drone,Low,12334.23,684.39,290.64,174.77,0.52,1,Hybrid Drone
Medium-Range,Passive,Anti-Air Missile,Fighter Jet,Hybrid Drone,Low,6172.3,1185.97,151.47,27.19,0.97,1,Anti-Air Missile
Long-Range,Hybrid,Cruise Missile,Helicopter,Fixed-Wing,Low,3300.31,1193.71,379.46,357.71,0.75,1,Helicopter
Medium-Range,Active,Cruise Missile,Drones,Hybrid Drone,High,10346.51,385.25,263.1,266.09,0.64,1,Hybrid Drone
Medium-Range,Active,Ballistic Missile,Bombers,Fixed-Wing,High,9180.95,1029.19,264.63,1.06,0.98,0,None
Long-Range,Passive,Anti-Air Missile,Helicopter,Quadcopter,Medium,16822.75,748.08,51.11,281.26,0.82,1,Anti-Air Missile
Short-Range,Active,Cruise Missile,Fighter Jet,Fixed-Wing,Medium,19604.41,1287.45,365.12,337.79,0.44,1,Cruise Missile
Short-Range,Hybrid,Cruise Missile,Bombers,Quadcopter,Low,16545.12,640.05,399.74,304.54,0.53,1,Cruise Missile
Long-Range,Active,Anti-Air Missile,Fighter Jet,Hybrid Drone,Medium,15387.74,1072.81,232.16,291.97,0.61,1,Hybrid Drone
Long-Range,Hybrid,Cruise Missile,Bombers,Fixed-Wing,Medium,13673.28,724.77,97.92,164.9,0.06,1,Bombers
Short-Range,Hybrid,Cruise Missile,Helicopter,Hybrid Drone,High,19834.01,1130.45,197.0,78.53,0.44,1,Cruise Missile
Medium-Range,Hybrid,Anti-Air Missile,Bombers,Fixed-Wing,High,13773.33,1326.01,246.17,206.69,0.6,1,Fixed-Wing
Medium-Range,Active,Anti-Air Missile,Passenger Aircraft,Hybrid Drone,Medium,19221.7,1464.21,166.6,85.63,0.98,0,None
Long-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Quadcopter,High,1987.23,1317.86,297.12,228.44,0.68,1,Fighter Jet
Long-Range,Hybrid,Surface-to-Air Missile,Helicopter,Fixed-Wing,Low,12220.47,1089.68,428.03,2.22,0.98,1,Helicopter
Long-Range,Passive,Surface-to-Air Missile,Fighter Jet,Fixed-Wing,Low,8218.02,538.16,171.6,191.79,0.08,1,Surface-to-Air Missile
Long-Range,Passive,Cruise Missile,Helicopter,Hybrid Drone,Medium,13722.3,968.34,357.87,78.25,0.11,1,Helicopter
Short-Range,Active,Ballistic Missile,Fighter Jet,Fixed-Wing,High,2716.77,1146.19,223.35,74.6,0.18,1,Ballistic Missile
Medium-Range,Active,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Medium,2881.13,369.61,117.56,179.53,0.94,1,Passenger Aircraft
Long-Range,Hybrid,Ballistic Missile,Helicopter,Hybrid Drone,High,12666.47,354.32,79.67,313.3,0.23,1,Helicopter
Medium-Range,Hybrid,Anti-Air Missile,Drones,Hybrid Drone,Low,748.1,988.52,130.45,308.87,0.59,0,None
Medium-Range,Active,Anti-Air Missile,Fighter Jet,Fixed-Wing,High,5142.18,398.68,368.05,140.6,0.59,1,Fixed-Wing
Short-Range,Hybrid,Ballistic Missile,Helicopter,Quadcopter,Low,11852.03,801.87,170.44,134.41,0.05,1,Ballistic Missile
Short-Range,Hybrid,Ballistic Missile,Drones,Hybrid Drone,High,15143.33,1158.7,378.69,150.12,0.52,1,Drones
Long-Range,Active,Surface-to-Air Missile,Bombers,Quadcopter,Low,3571.02,802.06,312.08,256.33,0.06,1,Quadcopter
Long-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Quadcopter,Low,13489.39,313.45,178.53,132.56,0.05,1,Ballistic Missile
Long-Range,Passive,Ballistic Missile,Bombers,Quadcopter,Low,3183.24,1280.2,438.73,324.03,0.48,1,Bombers
Medium-Range,Hybrid,Cruise Missile,Passenger Aircraft,Hybrid Drone,Medium,15706.1,1006.46,460.98,289.76,0.62,1,Passenger Aircraft
Short-Range,Active,Anti-Air Missile,Bombers,Fixed-Wing,Low,12347.46,989.76,97.96,145.66,0.24,1,Bombers
Medium-Range,Active,Anti-Air Missile,Helicopter,Hybrid Drone,Low,4463.2,1170.34,330.71,167.06,0.53,1,Helicopter
Short-Range,Hybrid,Anti-Air Missile,Fighter Jet,Fixed-Wing,Low,9650.35,891.53,141.6,56.54,0.65,1,Anti-Air Missile
Long-Range,Active,Anti-Air Missile,Helicopter,Fixed-Wing,Medium,5448.11,1272.49,124.85,56.05,0.55,1,Helicopter
Short-Range,Passive,Anti-Air Missile,Fighter Jet,Hybrid Drone,Medium,16675.13,438.86,195.1,54.66,0.5,0,None
Short-Range,Active,Ballistic Missile,Helicopter,Quadcopter,High,8305.32,1443.63,422.95,88.48,0.16,1,Helicopter
Short-Range,Hybrid,Ballistic Missile,Helicopter,Hybrid Drone,High,14284.0,480.99,402.79,237.42,0.35,1,Helicopter
Medium-Range,Active,Anti-Air Missile,Passenger Aircraft,Hybrid Drone,Medium,16242.59,954.18,419.86,339.47,0.13,1,Hybrid Drone
Medium-Range,Active,Cruise Missile,Helicopter,Hybrid Drone,Low,18084.62,645.62,384.5,104.97,0.93,0,None
Long-Range,Passive,Ballistic Missile,Bombers,Fixed-Wing,Low,3212.19,442.2,366.28,286.79,0.17,1,Bombers
Medium-Range,Hybrid,Anti-Air Missile,Bombers,Quadcopter,Low,8457.77,1383.72,378.95,346.06,0.99,1,Quadcopter
Long-Range,Hybrid,Ballistic Missile,Helicopter,Hybrid Drone,Medium,10786.91,1372.09,318.47,36.34,0.63,1,Hybrid Drone
Medium-Range,Passive,Anti-Air Missile,Passenger Aircraft,Hybrid Drone,Medium,16861.82,612.64,228.72,17.74,0.0,0,None
Short-Range,Active,Ballistic Missile,Helicopter,Hybrid Drone,High,18081.56,1115.93,78.93,252.98,0.54,1,Helicopter
Long-Range,Passive,Cruise Missile,Fighter Jet,Fixed-Wing,Low,7344.71,659.04,461.19,120.7,0.43,1,Cruise Missile
Short-Range,Hybrid,Anti-Air Missile,Fighter Jet,Fixed-Wing,High,925.7,1101.63,171.71,214.59,0.19,1,Fighter Jet
Long-Range,Hybrid,Anti-Air Missile,Bombers,Quadcopter,Low,10949.87,274.09,292.62,71.5,0.08,0,None
Short-Range,Passive,Cruise Missile,Passenger Aircraft,Fixed-Wing,High,11634.65,1354.0,322.08,196.66,0.2,1,Passenger Aircraft
Long-Range,Passive,Cruise Missile,Drones,Fixed-Wing,Medium,19701.54,1235.21,50.08,228.49,0.29,1,Fixed-Wing
Long-Range,Hybrid,Ballistic Missile,Bombers,Hybrid Drone,Low,5652.02,730.48,223.65,153.19,0.52,1,Hybrid Drone
Short-Range,Passive,Surface-to-Air Missile,Bombers,Quadcopter,Medium,9229.95,1269.8,491.0,98.99,0.09,1,Bombers
Short-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,Low,4155.66,620.25,476.64,228.56,0.29,0,None
Medium-Range,Active,Ballistic Missile,Fighter Jet,Quadcopter,Medium,19584.18,1156.87,321.31,150.47,0.48,1,Ballistic Missile
Medium-Range,Active,Anti-Air Missile,Drones,Hybrid Drone,Medium,17855.71,644.28,138.95,215.02,0.49,0,None
Long-Range,Passive,Cruise Missile,Helicopter,Fixed-Wing,Medium,2678.53,607.76,325.43,194.83,0.71,1,Cruise Missile
Long-Range,Active,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,7102.53,568.98,85.2,154.79,0.23,1,Passenger Aircraft
Medium-Range,Active,Surface-to-Air Missile,Bombers,Hybrid Drone,Medium,16832.44,1385.35,392.47,325.16,0.78,0,None
Short-Range,Passive,Anti-Air Missile,Drones,Fixed-Wing,Medium,8153.46,922.85,173.94,287.37,0.25,0,None
Short-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,High,6651.36,1159.42,237.1,317.66,0.73,1,Passenger Aircraft
Short-Range,Passive,Cruise Missile,Drones,Hybrid Drone,Medium,19787.26,1112.22,225.09,106.43,0.39,0,None
Short-Range,Passive,Anti-Air Missile,Drones,Hybrid Drone,Low,3295.41,574.25,278.42,165.19,0.76,1,Hybrid Drone
Short-Range,Passive,Cruise Missile,Drones,Fixed-Wing,Low,13212.84,399.93,422.65,89.84,0.53,1,Fixed-Wing
Long-Range,Passive,Surface-to-Air Missile,Helicopter,Quadcopter,Low,14274.15,837.39,157.21,64.66,0.99,1,Quadcopter
Medium-Range,Passive,Anti-Air Missile,Drones,Fixed-Wing,High,13469.03,584.21,496.34,39.65,0.28,1,Fixed-Wing
Long-Range,Passive,Surface-to-Air Missile,Helicopter,Fixed-Wing,Low,4804.22,792.13,223.22,240.37,0.05,1,Helicopter
Medium-Range,Active,Surface-to-Air Missile,Drones,Hybrid Drone,High,2754.39,972.22,376.51,333.17,0.92,1,Surface-to-Air Missile
Short-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Fixed-Wing,High,15273.88,1167.81,129.11,63.58,0.62,1,Ballistic Missile
Medium-Range,Passive,Anti-Air Missile,Drones,Hybrid Drone,High,19867.12,1231.22,195.93,181.94,0.24,0,None
Long-Range,Passive,Cruise Missile,Bombers,Fixed-Wing,Low,12553.03,943.54,228.84,349.05,0.95,1,Cruise Missile
Short-Range,Passive,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,9287.96,562.53,89.29,214.25,0.03,1,Fixed-Wing
Short-Range,Hybrid,Anti-Air Missile,Bombers,Hybrid Drone,Medium,19685.94,1336.72,267.6,278.29,0.25,0,None
Short-Range,Hybrid,Surface-to-Air Missile,Drones,Hybrid Drone,Low,5566.09,1389.34,433.43,349.1,0.68,1,Hybrid Drone
Long-Range,Active,Ballistic Missile,Bombers,Fixed-Wing,High,4366.09,796.79,426.86,255.8,0.9,1,Bombers
Long-Range,Active,Surface-to-Air Missile,Bombers,Quadcopter,Medium,3577.34,598.86,245.17,342.02,0.19,1,Quadcopter
Long-Range,Hybrid,Ballistic Missile,Fighter Jet,Fixed-Wing,Medium,13260.11,735.93,422.61,179.64,1.0,1,Ballistic Missile
Short-Range,Active,Ballistic Missile,Passenger Aircraft,Fixed-Wing,High,14591.12,276.44,163.42,80.11,0.53,1,Ballistic Missile
Medium-Range,Active,Surface-to-Air Missile,Helicopter,Fixed-Wing,High,18460.83,1038.66,440.88,111.18,0.12,0,None
Short-Range,Active,Ballistic Missile,Fighter Jet,Quadcopter,Medium,756.45,934.73,120.84,22.44,0.28,1,Fighter Jet
Long-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,Medium,15931.86,674.47,356.68,96.75,0.79,1,Surface-to-Air Missile
Medium-Range,Passive,Anti-Air Missile,Fighter Jet,Fixed-Wing,Medium,7168.08,1499.82,139.56,248.77,0.67,1,Fixed-Wing
Short-Range,Active,Cruise Missile,Passenger Aircraft,Hybrid Drone,High,3204.09,482.79,101.36,311.66,0.2,1,Hybrid Drone
Short-Range,Hybrid,Surface-to-Air Missile,Helicopter,Hybrid Drone,Low,15930.79,1219.83,400.13,40.09,0.96,0,None
Short-Range,Passive,Ballistic Missile,Passenger Aircraft,Fixed-Wing,High,17723.35,760.57,146.55,172.72,0.89,1,Fixed-Wing
